,TICKER,REC DATE,TEAM,RISK,ADJ REC PRICE,RETURN,S&P RETURN
206,CNI,3/20/08,David,6.0,19.25,3.5439999999999996,2.024
207,AAPL,1/18/08,David,6.0,19.96,16.525,2.046
208,NFLX,6/15/07,Tom,,2.82,160.138,1.662
209,BRK.B,4/20/07,Tom,,72.56,1.4769999999999999,1.758
210,MTH,3/16/07,Tom,,32.34,1.27,1.955
211,ARLO NTGR,3/16/07,David,13.0,,0.087,1.955
212,FDX,12/15/06,David,10.0,104.1,0.322,1.886
213,NFLX,9/15/06,David,11.0,3.25,138.79,2.136
214,AFL,6/16/06,Tom,,16.68,1.195,2.323
215,NFLX,6/16/06,David,11.0,3.87,116.111,2.323
216,SBUX,2/17/06,David,9.0,14.94,4.047,2.251
217,WB SINA,11/18/05,David,12.0,,0.58,2.3680000000000003
218,NVDA,4/15/05,David,5.0,6.55,55.58,2.721
219,SAFT,2/18/05,Tom,,17.11,3.397,2.5469999999999997
220,SLAB,1/21/05,Tom,,28.26,2.45,2.656
221,NFLX,12/17/04,David,11.0,1.85,243.687,2.58
222,NFLX,10/1/04,David,11.0,2.33,193.49099999999999,2.7939999999999996
223,DIS,8/20/04,David,9.0,29.58,14.724,2.915
224,WB SINA,7/16/04,David,12.0,,0.596,2.912
225,UNH,5/21/04,Tom,,26.85,9.846,2.949
226,BKNG,5/21/04,David,9.0,23.71,67.617,2.949
227,BAMXF,4/16/04,David,14.0,42.3,0.513,2.8139999999999996
228,DIS,7/11/03,David,9.0,57.27,8.507,3.392
229,HAS,4/11/03,David,12.0,9.62,6.416,4.07
230,DIS,3/7/03,David,9.0,44.86,11.137,4.32
231,ATVI,2/7/03,David,10.0,8.61,46.839,4.325
232,BWA,1/10/03,Tom,,5.76,4.946000000000001,3.7689999999999997
233,FDX,1/10/03,David,10.0,51.2,1.6880000000000002,3.7689999999999997
234,UNH,12/13/02,Tom,,141.82,22.471999999999998,3.9810000000000003
235,DIS,11/8/02,David,9.0,11.81,38.394,3.9610000000000003
236,AMZN,9/6/02,David,8.0,15.31,173.72299999999998,3.9810000000000003
237,ATVI,8/9/02,David,10.0,16.77,23.564,3.907
238,DIS,6/7/02,David,9.0,7.35,62.288000000000004,3.3510000000000004
239,EBAY PYPL,5/10/02,David,9.0,,11.394,3.2439999999999998
240,COST,4/12/02,Tom,,30.45,8.85,3.034
