,TICKER,REC DATE,TEAM,RISK,RETURN,S&P RETURN
145,SWIR,9/20/13,David,15.0,-0.37,1.081
146,TXRH,8/16/13,David,10.0,1.2919999999999998,1.153
147,MA,6/21/13,Tom,,4.405,1.246
148,NFLX,6/21/13,David,11.0,13.642999999999999,1.246
149,MTN,5/17/13,David,9.0,2.235,1.149
150,MA,4/19/13,Tom,,4.937,1.3090000000000002
151,IT,3/15/13,Tom,,1.304,1.304
152,KMX,3/15/13,David,14.0,1.205,1.304
153,CMG,2/15/13,Tom,,2.217,1.371
154,WSM,12/21/12,Tom,,1.3980000000000001,1.527
155,TSLA,11/16/12,Tom,,30.435,1.665
156,INTU,11/16/12,David,7.0,4.212,1.665
157,WAB,10/19/12,Tom,,0.501,1.534
158,DAR,9/21/12,David,16.0,0.321,1.4909999999999999
159,BKNG,8/17/12,Tom,,1.7630000000000001,1.57
160,KMI,8/17/12,David,11.0,-0.37200000000000005,1.57
161,GOOG GOOGL,7/20/12,Tom,,3.685,1.68
162,TDG,7/20/12,David,12.0,5.91,1.68
163,DDD,6/15/12,David,17.0,-0.629,1.725
164,RHI,5/16/12,Tom,,1.079,1.767
165,LKQ,5/16/12,David,14.0,0.435,1.767
166,HEI,4/20/12,Tom,,6.069,1.6640000000000001
167,CLNE,3/16/12,David,13.0,-0.899,1.62
168,ULTA,1/20/12,Tom,,1.814,1.807
169,DDD,1/20/12,David,17.0,-0.402,1.807
170,OII,11/18/11,Tom,,-0.833,2.048
171,SBUX,11/18/11,David,9.0,3.13,2.048
172,PEGA,10/21/11,David,11.0,4.497,1.999
173,WSM,9/16/11,Tom,,2.155,2.059
174,CMI,9/16/11,David,10.0,1.23,2.059
175,GLW,8/19/11,David,11.0,1.325,2.3169999999999997
176,BCPC,7/15/11,Tom,,1.11,1.838
177,AAPL,6/17/11,David,6.0,7.83,1.9409999999999998
178,SINA WB,4/15/11,David,12.0,-0.684,1.844
179,IIVI,3/18/11,David,15.0,1.123,1.9380000000000002
180,TNC,1/21/11,Tom,,0.897,1.9380000000000002
181,CGNX,1/21/11,David,8.0,7.294,1.9380000000000002
182,AMZN,12/17/10,David,8.0,14.064,2.036
183,WSO,11/19/10,Tom,,3.2260000000000004,2.1519999999999997
184,GILD,9/17/10,David,10.0,4.211,2.371
185,DISCK,8/20/10,David,10.0,0.2,2.5469999999999997
186,NKE,7/16/10,Tom,,5.296,2.5780000000000003
187,BKNG,6/18/10,David,9.0,7.426,2.414
188,SAM,5/21/10,David,9.0,8.106,2.513
189,DISCK,3/19/10,Tom,,1.1059999999999999,2.305
190,NVDA,12/18/09,David,5.0,22.94,2.495
191,AFL,11/20/09,Tom,,1.148,2.535
192,HAS,10/16/09,David,12.0,2.28,2.556
193,DASTY,9/18/09,David,11.0,5.426,2.625
194,ADBE,8/21/09,David,8.0,12.033,2.779
195,IBKR,6/19/09,Tom,,2.782,3.2260000000000004
196,BRK.B,5/15/09,Tom,,2.099,3.42
197,MCK,2/20/09,David,12.0,2.845,4.0969999999999995
198,NATI,1/16/09,Tom,,2.387,3.635
199,CTAS,12/19/08,Tom,,13.544,3.448
200,DIS,12/19/08,David,9.0,6.515,3.448
201,NATI,10/17/08,Tom,,1.9680000000000002,3.222
202,ATVI,9/19/08,David,10.0,3.9339999999999997,2.169
203,ILMN,7/18/08,David,6.0,7.551,2.168
204,AAPL,6/20/08,David,6.0,15.134,2.035
205,SHW,3/20/08,Tom,,11.898,2.024
206,CNI,3/20/08,David,6.0,3.5439999999999996,2.024
207,AAPL,1/18/08,David,6.0,16.525,2.046
208,NFLX,6/15/07,Tom,,160.138,1.662
209,BRK.B,4/20/07,Tom,,1.4769999999999999,1.758
210,MTH,3/16/07,Tom,,1.27,1.955
211,ARLO NTGR,3/16/07,David,13.0,0.087,1.955
212,FDX,12/15/06,David,10.0,0.322,1.886
213,NFLX,9/15/06,David,11.0,138.79,2.136
214,AFL,6/16/06,Tom,,1.195,2.323
215,NFLX,6/16/06,David,11.0,116.111,2.323
216,SBUX,2/17/06,David,9.0,4.047,2.251
217,WB SINA,11/18/05,David,12.0,0.58,2.3680000000000003
218,NVDA,4/15/05,David,5.0,55.58,2.721
219,SAFT,2/18/05,Tom,,3.397,2.5469999999999997
220,SLAB,1/21/05,Tom,,2.45,2.656
221,NFLX,12/17/04,David,11.0,243.687,2.58
222,NFLX,10/1/04,David,11.0,193.49099999999999,2.7939999999999996
223,DIS,8/20/04,David,9.0,14.724,2.915
224,WB SINA,7/16/04,David,12.0,0.596,2.912
225,UNH,5/21/04,Tom,,9.846,2.949
226,BKNG,5/21/04,David,9.0,67.617,2.949
227,BAMXF,4/16/04,David,14.0,0.513,2.8139999999999996
228,DIS,7/11/03,David,9.0,8.507,3.392
229,HAS,4/11/03,David,12.0,6.416,4.07
230,DIS,3/7/03,David,9.0,11.137,4.32
231,ATVI,2/7/03,David,10.0,46.839,4.325
232,BWA,1/10/03,Tom,,4.946000000000001,3.7689999999999997
233,FDX,1/10/03,David,10.0,1.6880000000000002,3.7689999999999997
234,UNH,12/13/02,Tom,,22.471999999999998,3.9810000000000003
235,DIS,11/8/02,David,9.0,38.394,3.9610000000000003
236,AMZN,9/6/02,David,8.0,173.72299999999998,3.9810000000000003
237,ATVI,8/9/02,David,10.0,23.564,3.907
238,DIS,6/7/02,David,9.0,62.288000000000004,3.3510000000000004
239,EBAY PYPL,5/10/02,David,9.0,11.394,3.2439999999999998
240,COST,4/12/02,Tom,,8.85,3.034
