COMPANY & TICKER,,REC DATE,TEAM,RISK,MARKET CAP,ADJ REC PRICE,RETURN,S&P RETURN,VS. S&P RETURN,FAVORITES
,CME Group,11/17/17,David,8,$63B,$127.54 ,37.60%,26.40%,11.20%,Add CME to your Favorites
,CME,,,,,,,,,
,The Trade Desk,10/20/17,Tom,,$18B,$63.62 ,520.50%,26.90%,493.70%,Add TTD to your Favorites
,TTD Now Starter,,,,,,,,,
,HCA Healthcare,10/20/17,David,12,$33B,$78.84 ,23.70%,26.90%,-3.20%,Add HCA to your Favorites
,HCA,,,,,,,,,
,Arista Networks,9/15/17,Tom,,$17B,$176.96 ,23.20%,30.80%,-7.60%,Add ANET to your Favorites
,ANET Now,,,,,,,,,
,3M,9/15/17,David,9,$91B,$196.31 ,-19.40%,30.80%,-50.30%,Add MMM to your Favorites
,MMM,,,,,,,,,
,Grand Canyon Education,8/18/17,Tom,,$4B,$80.01 ,19.40%,35.10%,-15.80%,Add LOPE to your Favorites
,LOPE,,,,,,,,,
,JD.com,8/18/17,David,10,$361B,$40.13 ,46.10%,35.10%,11.00%,Add JD to your Favorites
,JD,,,,,,,,,
,iRobot,7/21/17,Tom,,$2B,$88.47 ,-8.00%,32.80%,-40.80%,Add IRBT to your Favorites
,IRBT,,,,,,,,,
,Cognex,7/21/17,David,8,$10B,$45.38 ,25.30%,32.80%,-7.50%,Add CGNX to your Favorites
,CGNX,,,,,,,,,
,Paycom Software,6/16/17,Tom,,$18B,$69.36 ,358.70%,35.10%,323.60%,Add PAYC to your Favorites
,PAYC,,,,,,,,,
,Textron,6/16/17,David,14,$8B,$47.21 ,-26.90%,35.10%,-62.00%,Add TXT to your Favorites
,TXT,,,,,,,,,
,Chipotle Mexican Grill,5/19/17,Tom,,$28B,$484.99 ,108.40%,38.30%,70.10%,CMG is in your Favorites
,CMG,,,,,,,,,
,Old Dominion Freight Line,5/19/17,David,6,$20B,$56.59 ,197.20%,38.30%,159.00%,Add ODFL to your Favorites
,ODFL,,,,,,,,,
,Marriott International,4/21/17,Tom,,$29B,$88.90 ,0.90%,40.50%,-39.60%,Add MAR to your Favorites
,MAR,,,,,,,,,
,Fortinet,4/21/17,David,8,$22B,$39.53 ,245.80%,40.50%,205.30%,Add FTNT to your Favorites
,FTNT,,,,,,,,,
,Western Alliance Bancorp,3/17/17,Tom,,$4B,$50.78 ,-23.60%,39.00%,-62.60%,Add WAL to your Favorites
,WAL,,,,,,,,,
,"Becton, Dickinson",3/17/17,David,12,$70B,$176.12 ,34.90%,39.00%,-4.00%,Add BDX to your Favorites
,BDX,,,,,,,,,
,BorgWarner,2/17/17,Tom,,$7B,$40.04 ,-14.50%,40.80%,-55.30%,Add BWA to your Favorites
,BWA,,,,,,,,,
,Tractor Supply,2/17/17,David,7,$15B,$68.45 ,86.50%,40.80%,45.70%,Add TSCO to your Favorites
,TSCO,,,,,,,,,
,Rollins,1/20/17,Tom,,$14B,$21.76 ,92.30%,46.00%,46.30%,Add ROL to your Favorites
,ROL,,,,,,,,,
,NVIDIA,1/20/17,David,5,$228B,$102.81 ,260.30%,46.00%,214.30%,NVDA is in your Favorites
,NVDA Now,,,,,,,,,
,Mastercard,12/16/16,Tom,,$298B,$101.26 ,192.80%,47.10%,145.70%,Add MA to your Favorites
,MA Starter,,,,,,,,,
,Masimo,12/16/16,David,5,$12B,$66.55 ,239.60%,47.10%,192.50%,Add MASI to your Favorites
,MASI,,,,,,,,,
,Markel,11/18/16,Tom,,$13B,$882.92 ,5.40%,52.50%,-47.10%,Add MKL to your Favorites
,MKL,,,,,,,,,
