,TICKER,REC DATE,RISK,ADJ REC PRICE,RETURN,S&P RETURN
194,BMRN,5/16/07,13.0,18.16,5.643,1.6580000000000001
195,IPGP,4/18/07,8.0,20.52,6.6610000000000005,1.7380000000000002
196,EXEL,3/21/07,9.0,10.0,1.345,1.8119999999999998
197,CMG,1/17/07,11.0,60.6,16.293,1.831
198,BLKB,11/15/06,15.0,22.99,1.4880000000000002,1.909
199,BIDU,10/18/06,7.0,8.34,13.558,1.98
200,MNTA,8/16/06,16.0,15.41,1.449,2.151
201,UA UAA,7/19/06,14.0,,0.7609999999999999,2.246
202,ISRG,2/15/06,7.0,34.06,15.295,2.219
203,IRBT,12/21/05,13.0,31.41,1.541,2.273
204,EXEL,10/19/05,9.0,7.34,2.195,2.469
205,ISRG,9/21/05,7.0,23.23,22.893,2.432
206,OLED,5/18/05,10.0,8.97,15.472999999999999,2.524
207,ISRG,3/16/05,7.0,14.72,36.693000000000005,2.5269999999999997
208,ICE,1/19/05,11.0,28.83,6.934,2.549
209,VRTX,1/19/05,7.0,10.48,26.784000000000002,2.549
210,NTES,12/15/04,6.0,11.3,37.723,2.492
