COMPANY & TICKER,,REC DATE,RISK,MARKET CAP,CURRENT PRICE,ADJ REC PRICE,RETURN,S&P RETURN,VS. S&P RETURN,FAVORITES
,DocuSign,7/26/18,13,$30B,$168.40 ,$55.51 ,195.30%,11.80%,183.50%,Add DOCU to your Favorites
,DOCU Now Starter,,,,,,,,,
,MongoDB,7/12/18,11,$13B,$224.03 ,$57.88 ,276.40%,13.30%,263.00%,Add MDB to your Favorites
,MDB,,,,,,,,,
,Baozun,6/28/18,11,$3B,$40.36 ,$54.55 ,-27.00%,16.90%,-43.80%,Add BZUN to your Favorites
,BZUN,,,,,,,,,
,iQiyi,6/14/18,17,$17B,$22.57 ,$40.51 ,-43.40%,14.10%,-57.60%,Add IQ to your Favorites
,IQ,,,,,,,,,
,Salesforce.com Corporate Action Details,5/24/18,8,$167B,$188.34 ,$106.58 ,110.20%,16.60%,93.60%,CRM is in your Favorites
,CRM Starter,,,,,,,,,
,HubSpot,5/10/18,12,$10B,$221.75 ,$117.65 ,86.20%,16.90%,69.30%,Add HUBS to your Favorites
,HUBS,,,,,,,,,
,iQiyi,4/25/18,17,$17B,$22.57 ,$18.01 ,27.30%,20.70%,6.60%,Add IQ to your Favorites
,IQ,,,,,,,,,
,Axon Enterprise,4/25/18,9,$6B,$95.95 ,$43.00 ,117.30%,20.70%,96.60%,Add AAXN to your Favorites
,AAXN,,,,,,,,,
,Bristol Myers Squibb Corporate Action Details,3/28/18,13,$131B,$58.18 ,$47.18 ,25.10%,22.40%,2.70%,Add BMY to your Favorites
,BMY,,,,,,,,,
,Nutanix,3/28/18,13,$5B,$21.64 ,$47.94 ,-52.70%,22.40%,-75.10%,Add NTNX to your Favorites
,NTNX,,,,,,,,,
,Palo Alto Networks,2/28/18,10,$22B,$226.90 ,$173.37 ,28.90%,17.70%,11.20%,Add PANW to your Favorites
,PANW,,,,,,,,,
,MongoDB,2/28/18,11,$13B,$224.03 ,$32.21 ,576.30%,17.70%,558.60%,Add MDB to your Favorites
,MDB,,,,,,,,,
,AnaptysBio,1/24/18,18,$634M,$24.00 ,$116.91 ,-80.10%,12.80%,-93.00%,Add ANAB to your Favorites
,ANAB,,,,,,,,,
,Alteryx,1/24/18,11,$10B,$164.25 ,$27.83 ,468.80%,12.80%,455.90%,Add AYX to your Favorites
,AYX,,,,,,,,,
,Editas Medicine,12/20/17,17,$2B,$31.41 ,$24.89 ,23.50%,19.60%,3.80%,Add EDIT to your Favorites
,EDIT,,,,,,,,,
,Camping World Holdings,11/22/17,11,$2B,$25.86 ,$38.01 ,-33.20%,23.60%,-56.80%,Add CWH to your Favorites
,CWH,,,,,,,,,
,Teladoc Health,11/22/17,10,$15B,$201.70 ,$34.00 ,479.40%,23.60%,455.80%,Add TDOC to your Favorites
,TDOC Starter,,,,,,,,,
,Abiomed,10/25/17,6,$11B,$241.75 ,$171.37 ,41.00%,25.80%,15.20%,Add ABMD to your Favorites
,ABMD,,,,,,,,,
,Editas Medicine,9/27/17,17,$2B,$31.41 ,$19.93 ,54.20%,28.50%,25.70%,Add EDIT to your Favorites
,EDIT,,,,,,,,,
,Tencent Holdings,9/27/17,5,"$4,651B",$62.75 ,$43.00 ,46.40%,28.50%,18.00%,Add TCEHY to your Favorites
,TCEHY,,,,,,,,,
,Align Technology,8/23/17,11,$20B,$257.43 ,$172.85 ,49.10%,32.00%,17.00%,Add ALGN to your Favorites
,ALGN,,,,,,,,,
,HubSpot,8/23/17,12,$10B,$221.75 ,$69.40 ,215.70%,32.00%,183.70%,Add HUBS to your Favorites
,HUBS,,,,,,,,,
,First Solar,7/26/17,13,$5B,$50.38 ,$45.44 ,8.00%,30.50%,-22.50%,Add FSLR to your Favorites
,FSLR,,,,,,,,,
,Live Nation Entertainment,7/26/17,11,$9B,$44.17 ,$36.70 ,20.40%,30.50%,-10.10%,Add LYV to your Favorites
,LYV,,,,,,,,,
,Bluebird Bio,6/28/17,15,$4B,$62.35 ,$109.10 ,-41.70%,32.60%,-74.30%,Add BLUE to your Favorites
,BLUE,,,,,,,,,
,The Trade Desk,5/24/17,12,$18B,$409.71 ,$51.50 ,669.60%,34.90%,634.80%,TTD is in your Favorites
,TTD,,,,,,,,,
,Momo,5/24/17,7,$4B,$17.82 ,$36.76 ,-49.80%,34.90%,-84.60%,Add MOMO to your Favorites
,MOMO,,,,,,,,,
,MercadoLibre,4/26/17,10,$47B,$971.44 ,$227.91 ,318.50%,36.10%,282.40%,Add MELI to your Favorites
,MELI Starter,,,,,,,,,
,Abiomed,4/26/17,6,$11B,$241.75 ,$130.08 ,85.80%,36.10%,49.70%,Add ABMD to your Favorites
,ABMD,,,,,,,,,
,Veeva Systems,3/22/17,7,$35B,$236.82 ,$48.99 ,378.30%,38.50%,339.70%,Add VEEV to your Favorites
,VEEV,,,,,,,,,
,Live Nation Entertainment,3/22/17,11,$9B,$44.17 ,$28.75 ,53.70%,38.50%,15.10%,Add LYV to your Favorites
,LYV,,,,,,,,,
,The Trade Desk,2/22/17,12,$18B,$409.71 ,$34.30 ,1055.60%,38.00%,1017.60%,TTD is in your Favorites
,TTD,,,,,,,,,
,Trex,2/22/17,10,$7B,$122.95 ,$32.90 ,272.90%,38.00%,234.90%,Add TREX to your Favorites
,TREX,,,,,,,,,
,Twilio,1/25/17,14,$30B,$216.52 ,$29.05 ,630.40%,42.10%,588.30%,TWLO is in your Favorites
,TWLO,,,,,,,,,
,Twitter,1/25/17,8,$25B,$31.37 ,$16.73 ,89.70%,42.10%,47.60%,Add TWTR to your Favorites
,TWTR,,,,,,,,,
,Impinj,12/21/16,15,$613M,$27.27 ,$38.33 ,-29.50%,44.40%,-73.90%,Add PI to your Favorites
,PI,,,,,,,,,
,Camping World Holdings,12/21/16,11,$2B,$25.86 ,$28.33 ,-10.30%,44.40%,-54.70%,Add CWH to your Favorites
,CWH,,,,,,,,,
,Ubiquiti Inc.,11/23/16,9,$11B,$168.87 ,$55.95 ,197.90%,48.60%,149.30%,Add UI to your Favorites
,UI,,,,,,,,,
,Etsy,11/23/16,11,$12B,$101.28 ,$13.12 ,648.20%,48.60%,599.60%,Add ETSY to your Favorites
,ETSY,,,,,,,,,
,2U,10/26/16,15,$2B,$35.81 ,$35.74 ,-0.30%,53.50%,-53.80%,Add TWOU to your Favorites
,TWOU,,,,,,,,,
,ResMed,10/26/16,7,$26B,$186.30 ,$57.25 ,217.60%,53.50%,164.20%,Add RMD to your Favorites
,RMD,,,,,,,,,
,Atlassian,9/28/16,8,$44B,$180.36 ,$30.00 ,489.40%,51.40%,438.00%,Add TEAM to your Favorites
,TEAM,,,,,,,,,
,Chipotle Mexican Grill,9/28/16,11,$29B,"$1,048.90 ",$418.31 ,150.50%,51.40%,99.10%,CMG is in your Favorites
,CMG,,,,,,,,,
,Gartner,8/24/16,11,$10B,$119.19 ,$90.11 ,28.40%,51.40%,-23.00%,Add IT to your Favorites
,IT,,,,,,,,,
